2024-07-17 18:59:48 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P1  -----------------------------------
2024-07-17 18:59:48 | separate_patient_data |    DEBUG | Separating patient DICOM files for patient AGORL_P1...
2024-07-17 18:59:49 | separate_patient_data |    DEBUG | Patient DICOM files for patient AGORL_P1 separated successfully in 1.17 seconds
2024-07-17 18:59:49 | separate_patient_data |    DEBUG | Creating CT_TO_TOTALSEGMENTATOR for patient AGORL_P1...
2024-07-17 18:59:49 | separate_patient_data |    DEBUG | CT_TO_TOTALSEGMENTATOR for patient AGORL_P1 created successfully in 0.15 seconds
2024-07-17 18:59:49 |  run_totalsegmentator |    DEBUG | Convert DICOM CT to NIFTI for patient AGORL_P1...
2024-07-17 18:59:52 |  run_totalsegmentator |    DEBUG | DICOM CT to NIFTI for patient AGORL_P1 converted successfully in 2.98 seconds
2024-07-17 18:59:53 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=total for patient AGORL_P1...
2024-07-17 19:01:29 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=total for patient AGORL_P1 ran successfully in 95.99 seconds
2024-07-17 19:01:29 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=body for patient AGORL_P1...
2024-07-17 19:02:02 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=body for patient AGORL_P1 ran successfully in 32.63 seconds
2024-07-17 19:02:02 |     generate_phantoms |    DEBUG | Create patient characteristics for patient AGORL_P1...
2024-07-17 19:02:02 |     generate_phantoms |    DEBUG | Patient characteristics for patient AGORL_P1 created successfully in 0.01 seconds
2024-07-17 19:02:02 |     generate_phantoms |    DEBUG | Convert segmentation to XYZ... for patient AGORL_P1
2024-07-17 19:03:07 |     generate_phantoms |    DEBUG | Segmentation to XYZ for patient AGORL_P1 created successfully in 65.17 seconds
2024-07-17 19:03:07 |     generate_phantoms |    DEBUG | Filtering phantoms for patient AGORL_P1...
2024-07-17 19:03:26 |     generate_phantoms |    DEBUG | Number of filtered phantoms for patient AGORL_P1 : 6
2024-07-17 19:03:26 |     generate_phantoms |    DEBUG | Phantoms for patient AGORL_P1 filtered successfully in 19.21 seconds
2024-07-17 19:03:26 |              __main__ |    DEBUG | Time taken for patient AGORL_P1 : 3.64 minutes.
2024-07-17 19:03:26 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-17 19:03:26 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P2  -----------------------------------
2024-07-17 19:03:26 | separate_patient_data |    DEBUG | Separating patient DICOM files for patient AGORL_P2...
2024-07-17 19:03:27 | separate_patient_data |    DEBUG | Patient DICOM files for patient AGORL_P2 separated successfully in 0.74 seconds
2024-07-17 19:03:27 | separate_patient_data |    DEBUG | Creating CT_TO_TOTALSEGMENTATOR for patient AGORL_P2...
2024-07-17 19:03:27 | separate_patient_data |    DEBUG | CT_TO_TOTALSEGMENTATOR for patient AGORL_P2 created successfully in 0.14 seconds
2024-07-17 19:03:27 |  run_totalsegmentator |    DEBUG | Convert DICOM CT to NIFTI for patient AGORL_P2...
2024-07-17 19:03:31 |  run_totalsegmentator |    DEBUG | DICOM CT to NIFTI for patient AGORL_P2 converted successfully in 3.38 seconds
2024-07-17 19:03:31 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=total for patient AGORL_P2...
2024-07-17 19:05:11 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=total for patient AGORL_P2 ran successfully in 100.55 seconds
2024-07-17 19:05:11 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=body for patient AGORL_P2...
2024-07-17 19:05:47 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=body for patient AGORL_P2 ran successfully in 35.83 seconds
2024-07-17 19:05:47 |     generate_phantoms |    DEBUG | Create patient characteristics for patient AGORL_P2...
2024-07-17 19:05:47 |     generate_phantoms |    DEBUG | Patient characteristics for patient AGORL_P2 created successfully in 0.00 seconds
2024-07-17 19:05:47 |     generate_phantoms |    DEBUG | Convert segmentation to XYZ... for patient AGORL_P2
2024-07-17 19:06:58 |     generate_phantoms |    DEBUG | Segmentation to XYZ for patient AGORL_P2 created successfully in 71.45 seconds
2024-07-17 19:06:58 |     generate_phantoms |    DEBUG | Filtering phantoms for patient AGORL_P2...
2024-07-17 19:07:16 |     generate_phantoms |    DEBUG | Number of filtered phantoms for patient AGORL_P2 : 6
2024-07-17 19:07:16 |     generate_phantoms |    DEBUG | Phantoms for patient AGORL_P2 filtered successfully in 17.50 seconds
2024-07-17 19:07:16 |              __main__ |    DEBUG | Time taken for patient AGORL_P2 : 3.83 minutes.
2024-07-17 19:07:16 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-17 19:07:16 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P3  -----------------------------------
2024-07-17 19:07:16 | separate_patient_data |    DEBUG | Separating patient DICOM files for patient AGORL_P3...
2024-07-17 19:07:17 | separate_patient_data |    DEBUG | Patient DICOM files for patient AGORL_P3 separated successfully in 1.03 seconds
2024-07-17 19:07:17 | separate_patient_data |    DEBUG | Creating CT_TO_TOTALSEGMENTATOR for patient AGORL_P3...
2024-07-17 19:07:17 | separate_patient_data |    DEBUG | CT_TO_TOTALSEGMENTATOR for patient AGORL_P3 created successfully in 0.19 seconds
2024-07-17 19:07:17 |  run_totalsegmentator |    DEBUG | Convert DICOM CT to NIFTI for patient AGORL_P3...
2024-07-17 19:07:21 |  run_totalsegmentator |    DEBUG | DICOM CT to NIFTI for patient AGORL_P3 converted successfully in 3.58 seconds
2024-07-17 19:07:21 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=total for patient AGORL_P3...
2024-07-17 19:09:28 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=total for patient AGORL_P3 ran successfully in 127.21 seconds
2024-07-17 19:09:28 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=body for patient AGORL_P3...
2024-07-17 19:10:13 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=body for patient AGORL_P3 ran successfully in 45.04 seconds
2024-07-17 19:10:13 |     generate_phantoms |    DEBUG | Create patient characteristics for patient AGORL_P3...
2024-07-17 19:10:13 |     generate_phantoms |    DEBUG | Patient characteristics for patient AGORL_P3 created successfully in 0.00 seconds
2024-07-17 19:10:13 |     generate_phantoms |    DEBUG | Convert segmentation to XYZ... for patient AGORL_P3
2024-07-17 19:11:17 |     generate_phantoms |    DEBUG | Segmentation to XYZ for patient AGORL_P3 created successfully in 64.57 seconds
2024-07-17 19:11:17 |     generate_phantoms |    DEBUG | Filtering phantoms for patient AGORL_P3...
2024-07-17 19:11:37 |     generate_phantoms |    DEBUG | Number of filtered phantoms for patient AGORL_P3 : 8
2024-07-17 19:11:37 |     generate_phantoms |    DEBUG | Phantoms for patient AGORL_P3 filtered successfully in 19.33 seconds
2024-07-17 19:11:37 |              __main__ |    DEBUG | Time taken for patient AGORL_P3 : 4.35 minutes.
2024-07-17 19:11:37 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-17 19:11:37 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P4  -----------------------------------
2024-07-17 19:11:37 | separate_patient_data |    DEBUG | Separating patient DICOM files for patient AGORL_P4...
2024-07-17 19:11:38 | separate_patient_data |    DEBUG | Patient DICOM files for patient AGORL_P4 separated successfully in 0.82 seconds
2024-07-17 19:11:38 | separate_patient_data |    DEBUG | Creating CT_TO_TOTALSEGMENTATOR for patient AGORL_P4...
2024-07-17 19:11:38 | separate_patient_data |    DEBUG | CT_TO_TOTALSEGMENTATOR for patient AGORL_P4 created successfully in 0.15 seconds
2024-07-17 19:11:38 |  run_totalsegmentator |    DEBUG | Convert DICOM CT to NIFTI for patient AGORL_P4...
2024-07-17 19:11:41 |  run_totalsegmentator |    DEBUG | DICOM CT to NIFTI for patient AGORL_P4 converted successfully in 3.32 seconds
2024-07-17 19:11:41 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=total for patient AGORL_P4...
2024-07-17 19:13:21 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=total for patient AGORL_P4 ran successfully in 99.41 seconds
2024-07-17 19:13:21 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=body for patient AGORL_P4...
2024-07-17 19:13:56 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=body for patient AGORL_P4 ran successfully in 35.64 seconds
2024-07-17 19:13:56 |     generate_phantoms |    DEBUG | Create patient characteristics for patient AGORL_P4...
2024-07-17 19:13:56 |     generate_phantoms |    DEBUG | Patient characteristics for patient AGORL_P4 created successfully in 0.00 seconds
2024-07-17 19:13:56 |     generate_phantoms |    DEBUG | Convert segmentation to XYZ... for patient AGORL_P4
2024-07-17 19:15:03 |     generate_phantoms |    DEBUG | Segmentation to XYZ for patient AGORL_P4 created successfully in 66.74 seconds
2024-07-17 19:15:03 |     generate_phantoms |    DEBUG | Filtering phantoms for patient AGORL_P4...
2024-07-17 19:15:23 |     generate_phantoms |    DEBUG | Number of filtered phantoms for patient AGORL_P4 : 7
2024-07-17 19:15:23 |     generate_phantoms |    DEBUG | Phantoms for patient AGORL_P4 filtered successfully in 19.74 seconds
2024-07-17 19:15:23 |              __main__ |    DEBUG | Time taken for patient AGORL_P4 : 3.76 minutes.
2024-07-17 19:15:23 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-17 19:15:23 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P5  -----------------------------------
2024-07-17 19:15:23 | separate_patient_data |    DEBUG | Separating patient DICOM files for patient AGORL_P5...
2024-07-17 19:15:24 | separate_patient_data |    DEBUG | Patient DICOM files for patient AGORL_P5 separated successfully in 1.31 seconds
2024-07-17 19:15:24 | separate_patient_data |    DEBUG | Creating CT_TO_TOTALSEGMENTATOR for patient AGORL_P5...
2024-07-17 19:15:24 | separate_patient_data |    DEBUG | CT_TO_TOTALSEGMENTATOR for patient AGORL_P5 created successfully in 0.15 seconds
2024-07-17 19:15:24 |  run_totalsegmentator |    DEBUG | Convert DICOM CT to NIFTI for patient AGORL_P5...
2024-07-17 19:15:27 |  run_totalsegmentator |    DEBUG | DICOM CT to NIFTI for patient AGORL_P5 converted successfully in 2.94 seconds
2024-07-17 19:15:27 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=total for patient AGORL_P5...
2024-07-17 19:17:02 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=total for patient AGORL_P5 ran successfully in 94.97 seconds
2024-07-17 19:17:02 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=body for patient AGORL_P5...
2024-07-17 19:17:35 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=body for patient AGORL_P5 ran successfully in 33.08 seconds
2024-07-17 19:17:35 |     generate_phantoms |    DEBUG | Create patient characteristics for patient AGORL_P5...
2024-07-17 19:17:35 |     generate_phantoms |    DEBUG | Patient characteristics for patient AGORL_P5 created successfully in 0.00 seconds
2024-07-17 19:17:35 |     generate_phantoms |    DEBUG | Convert segmentation to XYZ... for patient AGORL_P5
2024-07-17 19:18:36 |     generate_phantoms |    DEBUG | Segmentation to XYZ for patient AGORL_P5 created successfully in 60.53 seconds
2024-07-17 19:18:36 |     generate_phantoms |    DEBUG | Filtering phantoms for patient AGORL_P5...
2024-07-17 19:18:46 |     generate_phantoms |    DEBUG | Number of filtered phantoms for patient AGORL_P5 : 5
2024-07-17 19:18:46 |     generate_phantoms |    DEBUG | Phantoms for patient AGORL_P5 filtered successfully in 10.25 seconds
2024-07-17 19:18:46 |              __main__ |    DEBUG | Time taken for patient AGORL_P5 : 3.39 minutes.
2024-07-17 19:18:46 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-17 19:18:46 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P6  -----------------------------------
2024-07-17 19:18:46 | separate_patient_data |    DEBUG | Separating patient DICOM files for patient AGORL_P6...
2024-07-17 19:18:47 | separate_patient_data |    DEBUG | Patient DICOM files for patient AGORL_P6 separated successfully in 0.68 seconds
2024-07-17 19:18:47 | separate_patient_data |    DEBUG | Creating CT_TO_TOTALSEGMENTATOR for patient AGORL_P6...
2024-07-17 19:18:47 | separate_patient_data |    DEBUG | CT_TO_TOTALSEGMENTATOR for patient AGORL_P6 created successfully in 0.13 seconds
2024-07-17 19:18:47 |  run_totalsegmentator |    DEBUG | Convert DICOM CT to NIFTI for patient AGORL_P6...
2024-07-17 19:18:50 |  run_totalsegmentator |    DEBUG | DICOM CT to NIFTI for patient AGORL_P6 converted successfully in 3.00 seconds
2024-07-17 19:18:50 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=total for patient AGORL_P6...
2024-07-17 19:20:23 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=total for patient AGORL_P6 ran successfully in 93.43 seconds
2024-07-17 19:20:23 |  run_totalsegmentator |    DEBUG | Run TotalSegmentator task=body for patient AGORL_P6...
2024-07-17 19:20:56 |  run_totalsegmentator |    DEBUG | TotalSegmentator task=body for patient AGORL_P6 ran successfully in 32.40 seconds
2024-07-17 19:20:56 |     generate_phantoms |    DEBUG | Create patient characteristics for patient AGORL_P6...
2024-07-17 19:20:56 |     generate_phantoms |    DEBUG | Patient characteristics for patient AGORL_P6 created successfully in 0.00 seconds
2024-07-17 19:20:56 |     generate_phantoms |    DEBUG | Convert segmentation to XYZ... for patient AGORL_P6
2024-07-17 19:21:55 |     generate_phantoms |    DEBUG | Segmentation to XYZ for patient AGORL_P6 created successfully in 59.45 seconds
2024-07-17 19:21:55 |     generate_phantoms |    DEBUG | Filtering phantoms for patient AGORL_P6...
2024-07-17 19:22:06 |     generate_phantoms |    DEBUG | Number of filtered phantoms for patient AGORL_P6 : 4
2024-07-17 19:22:06 |     generate_phantoms |    DEBUG | Phantoms for patient AGORL_P6 filtered successfully in 10.87 seconds
2024-07-17 19:22:06 |              __main__ |    DEBUG | Time taken for patient AGORL_P6 : 3.33 minutes.
2024-07-17 19:22:06 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-17 19:22:06 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P7  -----------------------------------
2024-07-17 19:22:06 | separate_patient_data |    DEBUG | Separating patient DICOM files for patient AGORL_P7...
2024-07-17 19:22:06 | separate_patient_data |    DEBUG | Patient DICOM files for patient AGORL_P7 separated successfully in 0.47 seconds
2024-07-17 19:22:06 | separate_patient_data |    DEBUG | Creating CT_TO_TOTALSEGMENTATOR for patient AGORL_P7...
2024-07-17 19:22:06 | separate_patient_data |    DEBUG | CT_TO_TOTALSEGMENTATOR for patient AGORL_P7 created successfully in 0.15 seconds
2024-07-17 19:22:06 |  run_totalsegmentator |    DEBUG | Convert DICOM CT to NIFTI for patient AGORL_P7...
