2024-07-19 15:31:02 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P1  -----------------------------------
2024-07-19 15:31:03 |     generate_phantoms |    DEBUG | junction_top = False
2024-07-19 15:31:03 |     generate_phantoms |    DEBUG | junction_bottom = True
2024-07-19 15:31:03 |              __main__ |    DEBUG | Time taken for patient AGORL_P1 : 0.01 minutes.
2024-07-19 15:31:03 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-19 15:31:03 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P2  -----------------------------------
2024-07-19 15:31:03 |     generate_phantoms |    DEBUG | junction_top = False
2024-07-19 15:31:03 |     generate_phantoms |    DEBUG | junction_bottom = True
2024-07-19 15:31:03 |              __main__ |    DEBUG | Time taken for patient AGORL_P2 : 0.01 minutes.
2024-07-19 15:31:03 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-19 15:31:03 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P3  -----------------------------------
2024-07-19 15:31:03 |     generate_phantoms |    DEBUG | junction_top = False
2024-07-19 15:31:03 |     generate_phantoms |    DEBUG | junction_bottom = True
2024-07-19 15:31:03 |              __main__ |    DEBUG | Time taken for patient AGORL_P3 : 0.00 minutes.
2024-07-19 15:31:03 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-19 15:31:03 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P4  -----------------------------------
2024-07-19 15:31:04 |     generate_phantoms |    DEBUG | junction_top = True
2024-07-19 15:31:04 |     generate_phantoms |    DEBUG | junction_bottom = True
2024-07-19 15:31:04 |              __main__ |    DEBUG | Time taken for patient AGORL_P4 : 0.01 minutes.
2024-07-19 15:31:04 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-19 15:31:04 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P5  -----------------------------------
2024-07-19 15:31:04 |     generate_phantoms |    DEBUG | junction_top = False
2024-07-19 15:31:04 |     generate_phantoms |    DEBUG | junction_bottom = True
2024-07-19 15:31:04 |              __main__ |    DEBUG | Time taken for patient AGORL_P5 : 0.00 minutes.
2024-07-19 15:31:04 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-19 15:31:04 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P6  -----------------------------------
2024-07-19 15:31:04 |     generate_phantoms |    DEBUG | junction_top = False
2024-07-19 15:31:04 |     generate_phantoms |    DEBUG | junction_bottom = True
2024-07-19 15:31:04 |              __main__ |    DEBUG | Time taken for patient AGORL_P6 : 0.00 minutes.
2024-07-19 15:31:04 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-19 15:31:04 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P7  -----------------------------------
2024-07-19 15:31:04 |     generate_phantoms |    DEBUG | junction_top = False
2024-07-19 15:31:04 |     generate_phantoms |    DEBUG | junction_bottom = True
2024-07-19 15:31:04 |              __main__ |    DEBUG | Time taken for patient AGORL_P7 : 0.00 minutes.
2024-07-19 15:31:04 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-19 15:31:04 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P9  -----------------------------------
2024-07-19 15:31:05 |     generate_phantoms |    DEBUG | junction_top = False
2024-07-19 15:31:05 |     generate_phantoms |    DEBUG | junction_bottom = True
2024-07-19 15:31:05 |              __main__ |    DEBUG | Time taken for patient AGORL_P9 : 0.01 minutes.
2024-07-19 15:31:05 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-19 15:31:05 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P11 -----------------------------------
2024-07-19 15:31:05 |     generate_phantoms |    DEBUG | junction_top = False
2024-07-19 15:31:05 |     generate_phantoms |    DEBUG | junction_bottom = True
2024-07-19 15:31:05 |              __main__ |    DEBUG | Time taken for patient AGORL_P11 : 0.00 minutes.
2024-07-19 15:31:05 |              __main__ |    DEBUG | --------------------------------------------------------------------------------------------------------
2024-07-19 15:31:05 |              __main__ |    DEBUG | ----------------------------------- iterating over Patient AGORL_P12 -----------------------------------
